,Algeria,Argentina,Australia,Austria,Belgium,Brazil,Canada,Cape Verde,Colombia,Croatia,Curacao,Ecuador,Egypt,England,France,Germany,Ghana,Haiti,Iran,Ivory Coast,Japan,Jordan,Mexico,Morocco,Netherlands,New Zealand,Norway,Panama,Paraguay,Portugal,Qatar,Saudi Arabia,Scotland,Senegal,South Africa,South Korea,Spain,Switzerland,Tunisia,USA,Uruguay,Uzbekistan
Curacao,,0.000,0.000,,,,0.000,,,,,0.000,,,,0.000,,0.222,,0.000,,,0.000,,,0.000,,0.000,,,1.000,,0.000,,,,,,,0.000,,
Ecuador,,0.214,0.667,,,0.087,0.500,1.000,0.172,1.000,0.000,,,0.000,0.000,0.000,,0.667,0.500,0.000,0.000,0.000,0.167,0.000,0.000,1.000,,0.714,0.381,1.000,0.500,0.500,0.000,0.000,0.000,0.500,0.000,0.000,,0.333,0.240,
Egypt,0.214,0.000,1.000,0.000,0.600,0.000,1.000,0.250,0.000,0.000,,,,0.000,0.000,,0.476,,0.000,0.235,0.000,0.250,0.000,0.167,0.000,0.500,0.000,,,0.000,0.429,0.600,1.000,0.500,0.385,0.214,0.000,,0.250,0.000,0.000,0.000
England,0.000,0.400,0.750,0.750,0.400,0.143,,,0.500,0.500,,0.500,1.000,,0.250,0.294,0.000,,1.000,1.000,0.500,,1.000,1.000,0.267,1.000,0.333,0.500,1.000,0.250,,0.000,0.667,0.500,1.000,0.000,0.231,0.615,0.667,0.571,0.200,
France,1.000,0.250,0.667,0.700,0.643,0.500,0.000,,0.750,0.583,,0.500,1.000,0.500,,0.556,,,,0.667,0.667,,0.750,0.600,0.529,1.000,0.200,,0.500,0.636,,1.000,0.714,0.000,0.600,0.667,0.389,0.333,0.250,0.500,0.286,
Germany,1.000,0.250,0.600,0.750,0.889,0.273,1.000,,0.400,0.400,0.000,0.667,,0.412,0.278,,0.750,,1.000,0.000,0.250,,0.429,,0.400,1.000,0.750,,0.500,0.545,,1.000,0.778,,0.750,0.500,0.167,0.500,0.500,0.667,0.800,
Ghana,0.400,0.000,0.143,0.000,,0.000,,0.800,,0.000,,,0.286,0.000,,0.000,,,,0.250,0.250,,0.000,0.286,0.000,,0.000,0.000,,0.000,1.000,0.400,,0.286,0.333,0.571,,1.000,0.455,0.400,0.000,
Haiti,,0.000,,,,-0.000,0.143,,0.000,,0.444,0.333,,,,,,,,,0.000,1.000,0.000,0.000,,,,0.111,,,1.000,0.000,0.000,,,0.000,0.000,,0.000,0.000,,
Iran,0.333,0.000,0.000,0.000,0.000,0.000,0.667,0.000,,0.000,,0.000,0.000,0.000,,0.000,,,,,0.364,0.462,0.000,0.500,,0.500,,1.000,0.000,0.000,0.625,0.200,,0.000,,0.409,0.000,,0.000,0.333,0.500,0.588
Ivory Coast,0.385,0.000,,0.500,0.000,0.000,0.000,,0.000,,0.000,0.000,0.353,0.000,-0.000,0.000,0.333,,,,0.400,1.000,0.000,0.333,0.000,0.000,,,0.000,0.000,1.000,0.000,1.000,0.438,0.125,0.500,0.000,0.000,0.333,0.000,1.000,
Japan,,0.143,0.435,0.000,0.333,0.077,0.750,,0.167,0.250,,0.500,1.000,0.250,0.167,0.500,0.750,0.000,0.364,0.600,,0.500,0.143,,0.000,1.000,0.000,1.000,0.417,,0.286,0.611,0.500,0.000,0.000,0.273,0.500,0.333,0.667,0.500,0.250,0.636
Jordan,0.000,0.000,0.375,0.000,,,,,0.000,0.000,,1.000,0.500,,,,,0.000,0.308,0.000,0.167,,,0.000,,0.500,0.000,,0.000,,0.333,0.429,,,,0.111,0.000,0.000,0.000,,0.000,0.133
Mexico,0.000,0.100,0.250,,0.000,0.286,0.636,,0.182,0.333,1.000,0.500,0.667,0.000,0.250,0.143,1.000,1.000,1.000,1.000,0.714,,,,0.286,1.000,0.333,0.731,0.471,0.000,0.000,0.857,1.000,1.000,0.400,0.400,0.000,0.000,,0.320,0.353,0.000
Morocco,0.500,0.000,,,0.500,0.250,0.667,0.500,0.000,0.000,,0.000,0.333,0.000,0.000,,0.429,0.000,0.000,0.400,,1.000,,,0.333,,0.000,,0.500,0.500,0.000,0.500,0.500,0.714,0.222,0.333,0.000,1.000,0.375,0.750,0.000,1.000
Netherlands,,0.333,0.250,0.700,0.308,0.222,1.000,,0.000,0.333,,0.250,0.000,0.333,0.176,0.250,0.667,,,1.000,0.500,,0.571,0.667,,,0.600,,0.500,0.143,1.000,1.000,0.692,1.000,1.000,1.000,0.500,0.333,0.000,0.833,0.500,
New Zealand,,,0.087,,0.000,0.000,0.000,,0.000,,1.000,0.000,0.000,0.000,0.000,0.000,,,0.000,1.000,0.000,0.500,0.000,,,,0.000,,0.000,0.000,0.000,0.250,0.000,,0.000,0.000,0.000,,0.000,0.000,0.000,0.000
Norway,,1.000,0.333,0.333,0.000,0.667,,,0.000,0.200,,,0.000,0.167,0.200,0.250,1.000,,,,1.000,0.500,0.667,0.000,0.100,0.500,,1.000,0.000,0.167,1.000,1.000,0.200,0.000,0.667,0.500,0.111,0.375,0.500,0.333,0.000,
Panama,,0.000,,,0.000,0.000,0.143,,0.400,0.000,0.667,-0.000,,0.000,,,0.000,0.333,0.000,,0.000,,0.077,,,,0.000,,0.000,0.000,0.333,0.000,,,0.333,0.000,0.000,0.000,0.000,0.138,0.000,
Paraguay,,0.148,0.000,0.000,0.000,0.208,,,0.207,,,0.381,,0.000,0.000,0.000,,,0.000,0.000,0.167,1.000,0.353,0.000,0.000,0.667,0.000,1.000,,0.000,0.000,0.000,,,0.000,0.000,0.000,,,0.222,0.333,
Portugal,1.000,0.500,,0.200,0.500,0.333,0.500,0.333,0.000,0.636,,0.000,1.000,0.125,0.091,0.182,1.000,,0.500,0.000,,,0.600,0.500,0.571,1.000,0.500,1.000,0.000,,1.000,1.000,0.667,,1.000,0.000,0.133,0.556,0.000,0.333,0.500,0.000
Qatar,0.250,0.000,0.200,,0.000,0.000,0.000,,0.000,0.000,0.000,0.250,0.286,,,,0.000,0.000,0.208,0.000,0.143,0.583,1.000,0.000,0.000,1.000,0.000,0.333,0.500,0.000,,0.227,0.000,0.000,,0.333,,0.500,0.000,0.000,,0.235
Saudi Arabia,0.500,0.333,0.182,,0.333,0.000,1.000,0.000,0.000,0.000,,0.000,0.400,0.000,0.000,0.000,0.200,1.000,0.300,1.000,0.278,0.429,0.000,0.500,0.000,0.750,0.000,0.000,0.000,0.000,0.364,,,1.000,0.250,0.250,0.000,,0.333,0.286,0.250,0.583
Scotland,,0.500,0.667,0.444,0.000,0.000,0.667,,0.000,0.375,1.000,1.000,0.000,0.111,0.286,0.111,,0.000,,0.000,0.000,,0.000,0.000,0.077,0.000,0.300,,,-0.000,1.000,,,,0.500,0.000,0.200,0.286,,0.167,,
Senegal,0.200,,,,,0.333,,0.769,-0.000,0.000,,1.000,0.357,0.500,0.500,,0.429,,0.000,0.188,0.667,,0.000,0.143,0.000,,0.500,,,,1.000,0.000,,,0.400,0.500,,,0.167,0.000,0.000,0.000
South Africa,0.200,0.000,0.143,,,0.000,1.000,0.333,1.000,,,0.000,0.538,0.000,0.200,0.000,0.333,,,0.250,0.000,,0.200,0.444,0.000,0.500,0.333,0.000,0.250,0.000,,0.250,0.500,0.100,,0.000,0.250,,0.286,0.000,0.000,
South Korea,0.000,0.000,0.500,0.000,0.000,0.111,0.400,,0.500,0.286,,0.500,0.429,0.000,-0.000,0.500,0.429,1.000,0.273,0.500,0.364,0.444,0.200,0.000,0.000,0.800,0.250,0.000,0.429,1.000,0.667,0.250,1.000,0.250,0.000,,0.000,0.500,0.333,0.286,0.111,0.688
Spain,,0.667,1.000,0.667,0.875,0.200,1.000,0.000,0.250,0.583,,1.000,0.500,0.615,0.500,0.417,,1.000,1.000,1.000,0.500,1.000,0.333,0.000,0.125,1.000,0.667,1.000,0.500,0.200,,0.750,0.600,,0.750,0.667,,0.500,1.000,0.750,0.571,
Switzerland,,0.000,0.000,0.600,0.250,0.250,0.000,,0.333,0.250,,1.000,,-0.000,0.111,0.083,0.000,,,0.000,0.333,1.000,1.000,0.000,0.333,,0.250,1.000,,0.333,0.000,,0.286,,,0.500,0.200,,0.667,0.500,0.000,
Tunisia,0.294,0.000,0.500,0.000,0.250,0.000,0.000,0.750,0.000,0.500,,,0.550,-0.000,0.250,0.000,0.182,1.000,0.667,0.417,0.167,0.500,,0.125,0.000,0.000,0.000,1.000,,0.000,1.000,0.333,,0.500,0.429,0.333,0.000,-0.000,,0.000,0.000,
USA,1.000,0.250,0.400,0.333,0.000,0.050,0.500,,0.111,0.000,1.000,0.444,1.000,0.143,0.000,0.333,0.600,0.667,0.333,1.000,0.500,,0.420,0.250,0.167,0.667,0.667,0.621,0.444,0.333,1.000,0.429,0.333,1.000,1.000,0.429,0.250,0.125,0.000,,0.375,1.000
Uruguay,0.000,0.120,0.571,0.000,0.000,0.160,0.500,0.000,0.429,,,0.440,1.000,0.400,0.143,-0.000,0.500,,0.000,0.000,0.375,0.500,0.412,1.000,0.000,0.500,0.000,1.000,0.417,0.500,,0.250,,0.000,0.667,0.778,0.000,1.000,0.000,0.250,,1.000
Uzbekistan,,,0.000,,,,0.000,,0.000,,,,1.000,,,,,,0.059,,0.091,0.467,0.000,0.000,,1.000,,,,0.000,0.588,0.333,,0.000,,0.062,,,,0.000,0.000,
